tconst,userRating,user_id
tt0076759,5.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0080684,6.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0086190,5.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0119654,3.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0120338,8.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0120812,5.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0120915,7.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0137523,6.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0172495,8.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0266915,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0120912,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0121765,8.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0121766,9.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0293564,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0371746,5.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0468569,6.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1041829,7.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0499549,4.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0892769,8.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1228705,8.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0800369,6.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0458339,8.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0848228,6.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1232829,6.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1409024,5.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0816711,8.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1981115,6.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1300854,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt2802144,8.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt2015381,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1843866,5.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1646971,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt2395427,6.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt2488496,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt0478970,8.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1431045,7.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt1211837,8.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt3498820,4.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt4649466,7.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt8430862,6.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt3896198,7.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt2250912,9.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt3501632,2.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt2527336,4.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt4154756,9.0,b2cf814e-d7ab-4943-b038-3dfd862598aa
tt5164214,7.5,b2cf814e-d7ab-4943-b038-3dfd862598aa
